,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000132535,912.9551443,802.3954171,454.966004,482.1763255,283.7567161,217.6996496,194.0251807,222.8897106
ENSG00000132541,482.5541623,525.3608634,707.419999,724.5795145,1415.000157,1245.527503,1435.786337,1359.73924
ENSG00000132549,684.579113,709.5720951,728.8237072,622.8841441,962.2505527,899.3493721,752.2207007,754.9128893
ENSG00000132554,1.646942533,0.956941463,2.19525213,3.068394798,12.6114096,0,5.970005561,7.84034158
ENSG00000132561,1.646942533,1.435412195,4.39050426,10.08186862,146.2923514,110.6342482,128.3551196,109.7647821
ENSG00000132563,1.097961689,0.956941463,0.548813033,5.260105369,121.0695322,67.80808758,137.3101279,134.4058557
ENSG00000132570,301.9394644,272.7283171,350.1427148,354.1804282,139.9866466,142.7538686,137.3101279,165.767222
ENSG00000132581,328.290545,338.2788073,452.7707519,559.3245375,508.239807,360.4535182,405.9603782,404.3376158
ENSG00000132589,1103.451497,877.515322,1120.127399,1601.263743,274.9287293,317.6273576,262.6802447,293.4527848
ENSG00000132591,754.8486611,792.8260024,896.2116822,979.2562828,653.2710174,742.3201167,862.6658036,898.2791353
ENSG00000132600,377.698821,381.8196439,572.960806,652.2530657,229.5276548,278.3700438,391.0353643,396.4972742
ENSG00000132603,597.2911588,647.3709,790.2907669,639.9794865,447.7050409,460.3812262,641.7755978,620.5070336
ENSG00000132604,873.9775044,852.1563732,975.7895719,944.6272558,513.2843708,492.5008466,453.7204227,482.7410316
ENSG00000132612,601.1340247,585.6481756,624.000418,770.1670944,440.1381951,435.3992992,734.310684,655.2285463
ENSG00000132613,630.2300094,612.9210073,428.6229784,394.0695605,186.6488621,167.7357956,256.7102391,215.049369
ENSG00000132622,17.56738702,16.74647561,21.40370827,16.65700033,16.39483248,10.70654014,11.94001112,12.32053677
